Belt,Division,Division Group,No.,Name,Country,Date,Location,Defenses,Days,Ended,Notes,Next Champ Date,Day until Next Champ,Region,Continent,Title Type
WBA,Super Featherweight,Super Featherweight,36, Andrew Cancio,US,2/9/2019,,1,287,,,11/23/2019,287,North America,North America,
WBA,Super Featherweight,Super Featherweight,37, Leo Santa Cruz – Super Champion (v. Miguel Flores),Mexico,11/23/2019,,0,8,,Santa Cruz vacated the title to move down at featherweight,11/23/2019,0,North America,North America, Super Champion (v. Miguel Flores)
WBA,Super Featherweight,Super Featherweight,38, Rene Alvarado,Nicaragua,11/23/2019,,0,332,,,,,Central America,North America,
WBA,Featherweight,Featherweight,1, Sugar Ramos (v. Davey Moore),Cuba,3/21/1963,,3,555," September 26, 1964",,9/26/1964,555,Caribbean,North America,
WBA,Featherweight,Featherweight,2, Vicente Saldivar,Mexico,9/26/1964,,7,1191, 1967r,Saldívar announced retirement after his 7th defense,3/28/1968,1279,North America,North America,
WBA,Featherweight,Featherweight,3, Raul Rojas (v. Enrique Higgins),US,3/28/1968,,0,183," September 27, 1968",,9/27/1968,183,North America,North America,
WBA,Featherweight,Featherweight,4, Shozo Saijo,Japan,9/27/1968,,5,1070," September 2, 1971",,9/2/1971,1070,East Asia,Asia,
WBA,Featherweight,Featherweight,5, Antonio Gomez,Venezuela,9/2/1971,,1,352," August 19, 1972",,8/19/1972,352,South America,South America,
WBA,Featherweight,Featherweight,6, Ernesto Marcel,Panama,8/19/1972,,4,546," February 16, 1974r","Marcel announced retirement after his 4th defense, against Alexis Argüello",7/9/1974,689,Central America,North America,
WBA,Featherweight,Featherweight,7, Rubén Olivares (v. Zensuke Otagawa),Mexico,7/9/1974,,0,137," November 23, 1974",,11/23/1974,137,North America,North America,
WBA,Featherweight,Featherweight,8, Alexis Argüello,Nicaragua,11/23/1974,,4,769, 1976r,Argüello vacated his title to move up to super featherweight,1/15/1977,784,Central America,North America,
WBA,Featherweight,Featherweight,9, Rafael Ortega (v. Francisco Coronado),Panama,1/15/1977,,1,336," December 17, 1977",,12/17/1977,336,Central America,North America,
WBA,Featherweight,Featherweight,10, Cecilio Lastra,Spain,12/17/1977,,0,119," April 15, 1978",,4/15/1978,119,Western Europe,Europe,
WBA,Featherweight,Featherweight,11, Eusebio Pedroza,Panama,4/15/1978,,19,2611," June 8, 1985",,6/8/1985,2611,Central America,North America,
WBA,Featherweight,Featherweight,12, Barry McGuigan,Ireland,6/8/1985,,2,380," June 23, 1986",,6/23/1986,380,Western Europe,Europe,
WBA,Featherweight,Featherweight,13, Steve Cruz,US,6/23/1986,,0,407," March 6, 1987",,3/6/1987,256,North America,North America,
WBA,Featherweight,Featherweight,14, Antonio Esparragoza,Venezuela,3/6/1987,,7,1485," March 30, 1991",,3/30/1991,1485,South America,South America,
WBA,Featherweight,Featherweight,15, Park Yong-kyun,South Korea,3/30/1991,,8,980," December 4, 1993",,12/4/1993,980,East Asia,Asia,
WBA,Featherweight,Featherweight,16, Eloy Rojas,Venezuela,12/4/1993,,6,896," May 18, 1996",,5/18/1996,896,South America,South America,
WBA,Featherweight,Featherweight,17, Wilfredo Vázquez,Puerto Rico,5/18/1996,,4,592, 1997s,Vázquez was stripped of title for failing to set up a fight with mandatory challenger Antonio Cermeño,4/3/1998,685,Caribbean,North America,
WBA,Featherweight,Featherweight,18, Freddie Norwood (v. Antonio Cermeño),US,4/3/1998,,2,172," September 22, 1998s","Norwood was stripped of his title for coming overweight to his 3rd defense fight, against Koji Matsumoto",10/3/1998,183,North America,North America,
WBA,Featherweight,Featherweight,19, Antonio Cermeño (v. Genaro Rios),Venezuela,10/3/1998,,1,238," May 29, 1999",,5/29/1999,238,South America,South America,
WBA,Featherweight,Featherweight,20, Freddie Norwood (2),Mexico,5/29/1999,,3,469," September 9, 2000",,9/9/2000,469,North America,North America,
WBA,Featherweight,Featherweight,21, Derrick Gainer,US,9/9/2000,,3,1148," November 1, 2003",Gainer fought for Super title against Juan Manuel Márquez,11/1/2003,1148,North America,North America,
WBA,Featherweight,Featherweight,22, Juan Manuel Marquez– Super Champion (v. Derrick Gainer),Mexico,11/1/2003,,3,660," August 22, 2005s",Márquez was stripped for his inability to defend against various boxers after potential bouts failed to draw a bid,11/1/2003,0,North America,North America, Super Champion (v. Derrick Gainer)
WBA,Featherweight,Featherweight,23, Chris John– Regular champion (interim champ promoted),Indonesia,11/1/2003,,11,2065," June 27, 2009",John was promoted to Super champion,6/27/2009,2065,Oceania,Asia, Regular champion (interim champ promoted)
WBA,Featherweight,Featherweight,24, Chris John– Super champion (regular champ promoted),Indonesia,6/27/2009,,1,382 (2447)," July 14, 2010",John was declared Champion in Recess,6/27/2009,0,Oceania,Asia, Super champion (regular champ promoted)
WBA,Featherweight,Featherweight,25, Yuriorkis Gamboa – Regular Champion (interim champ promoted),Cuba,6/27/2009,,3,441," September 11, 2010",Gamboa fought for WBA Unified title against Orlando Salido,9/11/2010,441,Caribbean,North America, Regular Champion (interim champ promoted)
WBA,Featherweight,Featherweight,26, Yuriorkis Gamboa – Unified Champion (v. Orlando Salido),Cuba,9/11/2010,,1,273," June 11, 2011",Gamboa was stripped of his Unified title for not complying with the IBF rules of a second weigh-in in his last fight with Jorge Solís. He was stripped of the IBF title and thus was no longer a unified champion,12/4/2010,84,Caribbean,North America, Unified Champion (v. Orlando Salido)
WBA,Featherweight,Featherweight,27, Jonathan Victor Barros – Regular Champion (v. Irving Berry),Argentina,12/4/2010,,2,345," October 14, 2011",,12/5/2010,1,South America,South America, Regular Champion (v. Irving Berry)
WBA,Featherweight,Featherweight,28, Chris John– Super champion (reinstated),Indonesia,12/5/2010,,6,1097," December 6, 2013",,10/14/2011,313,Oceania,Asia, Super champion (reinstated)
WBA,Featherweight,Featherweight,29, Celestino Caballero – Regular Champion,Panama,10/14/2011,,1,359," October 7, 2012r",Caballero vacated for not accepting a low budget on a mandatory fight with Nicholas Walters.,12/9/2012,422,Central America,North America, Regular Champion
WBA,Featherweight,Featherweight,30, Nicholas Walters – Regular Champion (v. Daulis Prescott),Jamaica,12/9/2012,,2,678," October 18, 2014",Walters fought for Super title against Nonito Donaire,12/6/2013,362,Caribbean,North America, Regular Champion (v. Daulis Prescott)
WBA,Featherweight,Featherweight,31, Simpiwe Vetyeka – Super Champion,South Africa,12/6/2013,,0,176," May 31, 2014",,5/31/2014,176,Sub-Saharan Africa,Africa, Super Champion
WBA,Featherweight,Featherweight,32, Nonito Donaire – Super Champion,Philippines,5/31/2014,,0,140," October 18, 2014",,10/18/2014,140,Oceania,Asia, Super Champion
WBA,Featherweight,Featherweight,33, Nicholas Walters – Super Champion,Jamaica,10/18/2014,,0,238," June 13, 2015s",Walters was stripped of title for failing to make weight on his first defense fight against Miguel Marriaga. Title was at stakes for Marriaga but Walters won by unanimous decision,2/21/2015,126,Caribbean,North America, Super Champion
WBA,Featherweight,Featherweight,34, Jesús Cuéllar – Regular Champion (interim champ promoted),Argentina,2/21/2015,,2,658," December 10, 2016",,8/29/2015,189,South America,South America, Regular Champion (interim champ promoted)
WBA,Featherweight,Featherweight,35, Leo Santa Cruz – Super Champion (v. Abner Mares),Mexico,8/29/2015,,1,336," July 30, 2016",,7/30/2016,336,North America,North America, Super Champion (v. Abner Mares)
WBA,Featherweight,Featherweight,36, Carl Frampton – Super Champion,Great Britain,7/30/2016,,0,182," January 28, 2017",,12/10/2016,133,Western Europe,Europe, Super Champion
WBA,Featherweight,Featherweight,37, Abner Mares – Regular Champion,Mexico,12/10/2016,,1,546," June 9, 2018",Mares fought for WBA (Super) title against Leo Santa Cruz,1/28/2017,49,North America,North America, Regular Champion
WBA,Featherweight,Featherweight,38, Leo Santa Cruz – Super Champion,Mexico,1/28/2017,,3,1361, present,,7/5/2018,523,North America,North America, Super Champion
WBA,Featherweight,Featherweight,39, Jesús Rojas – Regular Champion (interim champ promoted),Puerto Rico,7/5/2018,,0,205," January 26, 2019",,1/26/2019,205,Caribbean,North America, Regular Champion (interim champ promoted)
WBA,Featherweight,Featherweight,40, Xu Can – Regular Champion,China,1/26/2019,,1,633, present,,,,East Asia,Asia, Regular Champion
WBA,Super bantamweight,Super bantamweight,1, Hong Soo-hwan (v. Ricardo Cardona),South Korea,1/26/1977,,1,466," May 7, 1978",,5/7/1978,466,East Asia,Asia,
WBA,Super bantamweight,Super bantamweight,2, Ricardo Cardona,Colombia,5/7/1978,,5,728," May 4, 1980",,5/4/1980,728,South America,South America,
WBA,Super bantamweight,Super bantamweight,3, Leo Randolph,US,5/4/1980,,0,97," August 9, 1980",,8/9/1980,97,North America,North America,
WBA,Super bantamweight,Super bantamweight,4, Sergio Victor Palma,Argentina,8/9/1980,,5,672," June 12, 1982",,6/12/1982,672,South America,South America,
WBA,Super bantamweight,Super bantamweight,5, Leo Cruz,Dominican Republic,6/12/1982,,3,620," February 22, 1984",,2/22/1984,620,Caribbean,North America,
WBA,Super bantamweight,Super bantamweight,6, Loris Stecca,Italy,2/22/1984,,0,94," May 26, 1984",,5/26/1984,94,Western Europe,Europe,
WBA,Super bantamweight,Super bantamweight,7, Victor Callejas,Puerto Rico,5/26/1984,,2,949, 1986r,Callejas started a period of inactivity and vacated the title,1/11/1987,960,Caribbean,North America,
WBA,Super bantamweight,Super bantamweight,8, Louie Espinoza (v. Tommy Valoy),US,1/11/1987,,2,321," November 28, 1987",,11/28/1987,321,North America,North America,
WBA,Super bantamweight,Super bantamweight,9, Julio Gervacio,Dominican Republic,11/28/1987,,0,91," February 27, 1988",,2/27/1988,91,Caribbean,North America,
WBA,Super bantamweight,Super bantamweight,10, Bernardo Piñango,Venezuela,2/27/1988,,0,456," May 28, 1988",,5/28/1988,91,South America,South America,
WBA,Super bantamweight,Super bantamweight,11, Juan José Estrada,Mexico,5/28/1988,,3,532," November 11, 1989",,11/11/1989,532,North America,North America,
WBA,Super bantamweight,Super bantamweight,12, Jesus Salud,Philippines,11/11/1989,,0,170, April 1990r,"Salud stripped of title for failing to defend it in Colombia against the No. 1 contender, Luis Mendoza",9/11/1990,304,Oceania,Asia,
WBA,Super bantamweight,Super bantamweight,13, Luis Enrique Mendoza (v. Rubén Darío Palacios),Colombia,9/11/1990,,4,26," October 7, 1991",,10/7/1991,391,South America,South America,
WBA,Super bantamweight,Super bantamweight,14, Raúl Pérez,Mexico,10/7/1991,,0,172," March 27, 1992",,3/27/1992,172,North America,North America,
WBA,Super bantamweight,Super bantamweight,15, Wilfredo Vázquez,Puerto Rico,3/27/1992,,9,1142," May 13, 1995",,5/13/1995,1142,Caribbean,North America,
WBA,Super bantamweight,Super bantamweight,16, Antonio Cermeño,Venezuela,5/13/1995,,7,232, 1998r,Cermeño vacated to move up to featherweight,2/8/1998,1002,South America,South America,
WBA,Super bantamweight,Super bantamweight,17, Enrique Sánchez (v. Rafael del Valle),Mexico,2/8/1998,,0,326," December 12, 1998",,12/12/1998,307,North America,North America,
WBA,Super bantamweight,Super bantamweight,18, Néstor Garza,Mexico,12/12/1998,,2,509," March 4, 2000",,3/4/2000,448,North America,North America,
WBA,Super bantamweight,Super bantamweight,19, Clarence Adams,US,3/4/2000,,2,606, 2001s,Adams vacated in order to fight Paulie Ayala for the IBO super bantamweight title,11/17/2001,623,North America,North America,
WBA,Super bantamweight,Super bantamweight,20, Yober Ortega (v. José Rojas),Venezuela,11/17/2001,,0,96," February 21, 2002",,2/21/2002,96,South America,South America,
WBA,Super bantamweight,Super bantamweight,21, Yoddamrong Sithyodthong,Thailand,2/21/2002,,0,86," May 18, 2002",,5/18/2002,86,Oceania,Asia,
WBA,Super bantamweight,Super bantamweight,22, Osamu Sato,Japan,5/18/2002,,0,144," October 9, 2002",,10/9/2002,144,East Asia,Asia,
WBA,Super bantamweight,Super bantamweight,23, Salim Medjkoune,France,10/9/2002,,1,268," July 4, 2003",,7/4/2003,268,Western Europe,Europe,
WBA,Super bantamweight,Super bantamweight,24, Mahyar Monshipour,France,7/4/2003,,5,1322," March 18, 2006",,3/18/2006,988,Western Europe,Europe,
WBA,Super bantamweight,Super bantamweight,25, Somsak Sithchatchawal,Thailand,3/18/2006,,0,200," October 4, 2006",,10/4/2006,200,Oceania,Asia,
WBA,Super bantamweight,Super bantamweight,26, Celestino Caballero,Panama,10/4/2006,,5,779," November 21, 2008",Caballero fought for Super title against Steve Molitor,11/21/2008,779,Central America,North America,
WBA,Super bantamweight,Super bantamweight,27, Celestino Caballero– Super Champion (v. Steve Molitor),Panama,11/21/2008,,2,19," December 10, 2010",Caballero vacated to fight at featherweight,11/21/2008,0,Central America,North America, Super Champion (v. Steve Molitor)
WBA,Super bantamweight,Super bantamweight,28, Ricardo Cordoba– Regular Champion (interim champ promoted),Panama,11/21/2008,,0,120," March 21, 2009",,3/21/2009,120,Central America,North America, Regular Champion (interim champ promoted)
WBA,Super bantamweight,Super bantamweight,29, Bernard Dunne – Regular Champion,Ireland,3/21/2009,,0,189," September 26, 2009",,9/26/2009,189,Western Europe,Europe, Regular Champion
WBA,Super bantamweight,Super bantamweight,30, Poonsawat Kratingdaenggym – Regular Champion,Thailand,9/26/2009,,2,555," October 2, 2010",,10/2/2010,371,Oceania,Asia, Regular Champion
WBA,Super bantamweight,Super bantamweight,31, Lee Ryol-li – Regular Champion,North Korea,10/2/2010,,0,121," January 31, 2011",,1/31/2011,121,East Asia,Asia, Regular Champion
WBA,Super bantamweight,Super bantamweight,32, Akifumi Shimoda,Japan,1/31/2011,,0,159," July 9, 2011",,7/9/2011,159,East Asia,Asia,
WBA,Super bantamweight,Super bantamweight,33, Rico Ramos,US,7/9/2011,,0,195," January 20, 2012",,1/20/2012,195,North America,North America,
WBA,Super bantamweight,Super bantamweight,34, Guillermo Rigondeaux,Cuba,1/20/2012,,2,449," April 13, 2013",Rigondeaux fought for Super title against Nonito Donaire,4/13/2013,449,Caribbean,North America,
WBA,Super bantamweight,Super bantamweight,35, Guillermo Rigondeaux – Super Champion (v. Nonito Donaire),Cuba,4/13/2013,,3,930 (1378)," October 30, 2015",Rigondeaux was declared Champion in Recess due to inactivity,9/5/2013,145,Caribbean,North America, Super Champion (v. Nonito Donaire)
WBA,Super bantamweight,Super bantamweight,36, Scott Quigg – Regular Champion (interim champ promoted),Great Britain,9/5/2013,,6,905," February 27, 2016",Quigg fought for WBA Super title against Carl Frampton,2/27/2016,905,Western Europe,Europe, Regular Champion (interim champ promoted)
WBA,Super bantamweight,Super bantamweight,37, Carl Frampton – Super Champion (b. Scott Quigg),Great Britain,2/27/2016,,0,40," April 7, 2016",Frampton was stripped of title after choosing to fight Leo Santa Cruz for the WBA Featherweight title instead of mandatory challenger Guillermo Rigondeaux,5/6/2016,69,Western Europe,Europe, Super Champion (b. Scott Quigg)
WBA,Super bantamweight,Super bantamweight,38, Guillermo Rigondeaux – Super Champion (reinstated),Cuba,5/6/2016,,1,582," December 9, 2017","Rigondeaux was stripped of title after losing Super featherweight fight against Vasyl Lomachenko, Daniel Roman promoted from regular champion.",6/24/2016,49,Caribbean,North America, Super Champion (reinstated)
WBA,Super bantamweight,Super bantamweight,39, Nehomar Cermeño – Regular Champion (b. Qiu Xiaojun),Venezuela,6/24/2016,,2,289," April 9, 2017",,4/9/2017,289,South America,South America, Regular Champion (b. Qiu Xiaojun)
WBA,Super bantamweight,Super bantamweight,40, Shun Kubo – Regular Champion,Japan,4/9/2017,,0,147," September 3, 2017",,9/3/2017,147,East Asia,Asia, Regular Champion
WBA,Super bantamweight,Super bantamweight,41, Daniel Roman,US,9/3/2017,,3,600," April 26, 2019",Roman fought for the unified title against IBF champion TJ Doheny,4/26/2019,600,North America,North America,
WBA,Super bantamweight,Super bantamweight,42, Daniel Roman – Unified Champion,US,4/26/2019,,1,279, present,,11/21/2019,209,North America,North America, Unified Champion
WBA,Super bantamweight,Super bantamweight,43, Brandon Figueroa – Regular champion,US,11/21/2019,,1,334, present,(Interim champ promoted),1/30/2020,70,North America,North America, Regular champion
WBA,Super bantamweight,Super bantamweight,44, Murodjon Akhmadaliev – Unified Champion,Uzbekistan,1/30/2020,,0,264, present,,,,Eastern Europe,Europe, Unified Champion
WBA,Bantamweight,Bantamweight,1, Eder Jofre (v. José Medel),Brazil,9/11/1962,,3,980," May 18, 1965",,5/18/1965,980,South America,South America,
WBA,Bantamweight,Bantamweight,2, Fighting Harada,Japan,5/18/1965,,4,1015," February 27, 1968",,2/27/1968,1015,East Asia,Asia,
WBA,Bantamweight,Bantamweight,3, Lionel Rose,Australia,2/27/1968,,3,542," August 22, 1969",,8/22/1969,542,Australia,Australia,
WBA,Bantamweight,Bantamweight,4, Rubén Olivares,Mexico,8/22/1969,,2,420," October 16, 1970",,10/16/1970,420,North America,North America,
WBA,Bantamweight,Bantamweight,5, Chucho Castillo,Mexico,10/16/1970,,0,168," April 2, 1971",,4/2/1971,168,North America,North America,
WBA,Bantamweight,Bantamweight,6, Rubén Olivares (2),Mexico,4/2/1971,,2,352," March 19, 1972",,3/19/1972,352,North America,North America,
WBA,Bantamweight,Bantamweight,7, Rafael Herrera,Mexico,3/19/1972,,0,132," July 29, 1972",,7/29/1972,132,North America,North America,
WBA,Bantamweight,Bantamweight,8, Enrique Pinder,Panama,7/29/1972,,0,175," January 20, 1973",,1/20/1973,175,Central America,North America,
WBA,Bantamweight,Bantamweight,9, Romeo Anaya,Mexico,1/20/1973,,2,287," November 3, 1973",,11/3/1973,287,North America,North America,
WBA,Bantamweight,Bantamweight,10, Arnold Taylor,South Africa,11/3/1973,,0,242," July 3, 1974",,7/3/1974,242,Sub-Saharan Africa,Africa,
WBA,Bantamweight,Bantamweight,11, Hong Soo-hwan,South Korea,7/3/1974,,1,254," March 14, 1975",,3/14/1975,254,East Asia,Asia,
WBA,Bantamweight,Bantamweight,12, Alfonso Zamora,Mexico,3/14/1975,,5,981," November 19, 1977",,11/19/1977,981,North America,North America,
WBA,Bantamweight,Bantamweight,13, Jorge Luján,Panama,11/19/1977,,5,1014," August 29, 1980",,8/29/1980,1014,Central America,North America,
WBA,Bantamweight,Bantamweight,14, Julian Solís,Puerto Rico,8/29/1980,,0,77," November 14, 1980",,11/14/1980,77,Caribbean,North America,
WBA,Bantamweight,Bantamweight,15, Jeff Chandler,US,11/14/1980,,9,1240," April 7, 1984",,4/7/1984,1240,North America,North America,
WBA,Bantamweight,Bantamweight,16, Richie Sandoval,US,4/7/1984,,2,702," March 10, 1986",,3/10/1986,702,North America,North America,
WBA,Bantamweight,Bantamweight,17, Gaby Canizales,US,3/10/1986,,0,86," June 4, 1986",,6/4/1986,86,North America,North America,
WBA,Bantamweight,Bantamweight,18, Bernardo Pinango,Venezuela,6/4/1986,,3,575, 1987r,Pinango vacated in order to move up to super bantamweight,3/29/1987,298,South America,South America,
WBA,Bantamweight,Bantamweight,19, Takuya Muguruma (v. Azael Moran),Japan,3/29/1987,,0,56," May 24, 1987",,5/24/1987,56,East Asia,Asia,
WBA,Bantamweight,Bantamweight,20, Chan-Young Park,South Korea,5/24/1987,,0,133," October 4, 1987",,10/4/1987,133,East Asia,Asia,
WBA,Bantamweight,Bantamweight,21, Wilfredo Vazquez,Puerto Rico,10/4/1987,,1,218," May 9, 1988",,5/9/1988,218,Caribbean,North America,
WBA,Bantamweight,Bantamweight,22, Kaokor Galaxy,Thailand,5/9/1988,,0,97," August 14, 1988",,8/14/1988,97,Oceania,Asia,
WBA,Bantamweight,Bantamweight,23, Moon Sung-kil,South Korea,8/14/1988,,2,329," July 9, 1989",,7/9/1989,329,East Asia,Asia,
WBA,Bantamweight,Bantamweight,24, Kaokor Galaxy (2),Thailand,7/9/1989,,0,102," October 18, 1989",,10/18/1989,101,Oceania,Asia,
WBA,Bantamweight,Bantamweight,25, Luisito Espinosa,Philippines,10/18/1989,,2,731," October 19, 1991",,10/19/1991,731,Oceania,Asia,
WBA,Bantamweight,Bantamweight,26, Israel Contreras,Venezuela,10/19/1991,,0,148," March 15, 1992",,3/15/1992,148,South America,South America,
WBA,Bantamweight,Bantamweight,27, Eddie Cook,US,3/15/1992,,0,208," October 9, 1992",,10/9/1992,208,North America,North America,
WBA,Bantamweight,Bantamweight,28, Jorge Julio Rocha,Colombia,10/9/1992,,2,379," October 23, 1993",,10/23/1993,379,South America,South America,
WBA,Bantamweight,Bantamweight,29, Junior Jones,US,10/23/1993,,1,181," April 22, 1994",,4/22/1994,181,North America,North America,
WBA,Bantamweight,Bantamweight,30, John Michael Johnson,US,4/22/1994,,0,85," July 16, 1994",,7/16/1994,85,North America,North America,
WBA,Bantamweight,Bantamweight,31, Daorung Chuvatana,Thailand,7/16/1994,,2,428," September 17, 1995",,9/17/1995,428,Oceania,Asia,
WBA,Bantamweight,Bantamweight,32, Veeraphol Sahaprom,Thailand,9/17/1995,,0,133," January 28, 1996",,1/28/1996,133,Oceania,Asia,
WBA,Bantamweight,Bantamweight,33, Nana Konadu,Ghana,1/28/1996,,0,273," October 27, 1996",,10/27/1996,273,Sub-Saharan Africa,Africa,
WBA,Bantamweight,Bantamweight,34, Daorung Chuvatana (2),Thailand,10/27/1996,,1,237," June 21, 1997",,6/21/1997,237,Oceania,Asia,
WBA,Bantamweight,Bantamweight,35, Nana Konadu (2),Ghana,6/21/1997,,1,532," December 5, 1998",,12/5/1998,532,Sub-Saharan Africa,Africa,
WBA,Bantamweight,Bantamweight,36, Johnny Tapia,US,12/5/1998,,0,203," June 26, 1999",,6/26/1999,203,North America,North America,
WBA,Bantamweight,Bantamweight,37, Paulie Ayala,US,6/26/1999,,3,773," August 7, 2001s",Ayala vacated in order to move up to super bantamweight,10/14/2001,841,North America,North America,
WBA,Bantamweight,Bantamweight,38, Eidy Moya (v. Adán Vargas),Venezuela,10/14/2001,,0,187," April 19, 2002",,4/19/2002,187,South America,South America,
WBA,Bantamweight,Bantamweight,39, Johnny Bredahl,Denmark,4/19/2002,,3,904," October 11, 2004r",Bredahl vacated and retired from boxing,2/26/2005,1044,Western Europe,Europe,
WBA,Bantamweight,Bantamweight,40, Wladimir Sidorenko (v. Julio Zamora),Ukraine,2/26/2005,,6,1190," May 31, 2008",,5/31/2008,1190,Eastern Europe,Europe,
WBA,Bantamweight,Bantamweight,41, Anselmo Moreno,Panama,5/31/2008,,7,902," November 19, 2010",Moreno got promoted so Super champion,11/19/2010,902,Central America,North America,
WBA,Bantamweight,Bantamweight,42, Anselmo Moreno – Super Champion,Panama,11/19/2010,,5,1407," September 26, 2014",,12/26/2010,37,Central America,North America, Super Champion
WBA,Bantamweight,Bantamweight,43, Koki Kameda – Regular Champion (v. Alexander Muñoz),Japan,12/26/2010,,8,1076," December 6, 2013r","Kameda vacated his title following a call for a unification match with WBA Super Champion Anselmo Moreno, in order to move down to super flyweight",5/31/2014,1252,East Asia,Asia, Regular Champion (v. Alexander Muñoz)
WBA,Bantamweight,Bantamweight,44, Jamie McDonnell – Regular Champion (v. Tabtimdaeng Na Rachawat),Great Britain,5/31/2014,,5,1455," May 25, 2018",,9/26/2014,118,Western Europe,Europe, Regular Champion (v. Tabtimdaeng Na Rachawat)
WBA,Bantamweight,Bantamweight,45, Juan Carlos Payano – Super Champion,Dominican Republic,9/26/2014,,1,631," June 18, 2016",,6/18/2016,631,Caribbean,North America, Super Champion
WBA,Bantamweight,Bantamweight,46, Rau'shee Warren – Super Champion,US,6/18/2016,,0,237," February 10, 2017",,2/10/2017,237,North America,North America, Super Champion
WBA,Bantamweight,Bantamweight,47, Zhanat Zhakiyanov – Super Champion,Kazakhstan,2/10/2017,,0,253," October 21, 2017",,10/21/2017,253,Eastern Europe,Europe, Super Champion
WBA,Bantamweight,Bantamweight,48, Ryan Burnett – Super Champion,Great Britain,10/21/2017,,1,378," November 3, 2018",,5/25/2018,216,Western Europe,Europe, Super Champion
WBA,Bantamweight,Bantamweight,49, Naoya Inoue – Regular Champion,Japan,5/25/2018,,1,531," November 7, 2019",Fought for WBA (Super) against Nonito Donaire,11/3/2018,162,East Asia,Asia, Regular Champion
WBA,Bantamweight,Bantamweight,50, Nonito Donaire – Super Champion,Philippines,11/3/2018,,1,369," November 7, 2019",,11/7/2019,369,Oceania,Asia, Super Champion
WBA,Bantamweight,Bantamweight,51, Naoya Inoue – Super Champion,Japan,11/7/2019,,0,348, present,,2/8/2020,93,East Asia,Asia, Super Champion
WBA,Bantamweight,Bantamweight,52, Guillermo Rigondeaux – Regular Champion (v. Liborio Solís),Cuba,2/8/2020,,0,255, present,,,,Caribbean,North America, Regular Champion (v. Liborio Solís)
WBA,Super flyweight,Super flyweight,1, Gustavo Ballas (v. Bae Sok-Chul),Argentina,9/12/1981,,0,81," December 5, 1981",,12/5/1981,84,South America,South America,
WBA,Super flyweight,Super flyweight,2, Rafael Pedroza,Panama,12/5/1981,,0,124," April 8, 1982",,4/8/1982,124,Central America,North America,
WBA,Super flyweight,Super flyweight,3, Jiro Watanabe,Japan,4/8/1982,,6,819," July 5, 1984s",Watanabe was stripped of title for not fighting mandatory challenger Khaosai Galaxy,11/21/1984,958,East Asia,Asia,
WBA,Super flyweight,Super flyweight,4, Khaosai Galaxy,Thailand,11/21/1984,,19,2962, 1992r,Galaxy retired vacated and retired from professional boxing,4/10/1992,2697,Oceania,Asia,
WBA,Super flyweight,Super flyweight,5, Katsuya Onizuka (v. Thanomsak Sithbaobay),Japan,4/10/1992,,5,891," September 18, 1994",,9/18/1994,891,East Asia,Asia,
WBA,Super flyweight,Super flyweight,6, Hyung-Chul Lee,South Korea,9/18/1994,,1,307," July 22, 1995",,7/22/1995,307,East Asia,Asia,
WBA,Super flyweight,Super flyweight,7, Alimi Goitia,Venezuela,7/22/1995,,3,399," August 24, 1996",,8/24/1996,399,South America,South America,
WBA,Super flyweight,Super flyweight,8, Yokthai Sithoar,Thailand,8/24/1996,,4,395," December 23, 1997",,12/23/1997,486,Oceania,Asia,
WBA,Super flyweight,Super flyweight,9, Satoshi Iida,Japan,12/23/1997,,2,365," December 23, 1998",,12/23/1998,365,East Asia,Asia,
WBA,Super flyweight,Super flyweight,10, Jesús Kiki Rojas,Venezuela,12/23/1998,,1,220," July 31, 1999",,7/31/1999,220,South America,South America,
WBA,Super flyweight,Super flyweight,11, Hideki Todaka,Japan,7/31/1999,,2,436," October 9, 2000",,10/9/2000,436,East Asia,Asia,
WBA,Super flyweight,Super flyweight,12, Leo Gámez,Venezuela,10/9/2000,,0,153," March 11, 2001",,3/11/2001,153,South America,South America,
WBA,Super flyweight,Super flyweight,13, Celes Kobayashi,Japan,3/11/2001,,1,363," March 9, 2002",,3/9/2002,363,East Asia,Asia,
WBA,Super flyweight,Super flyweight,14, Alexander Muñoz,Venezuela,3/9/2002,,3,1000," December 3, 2004",,12/3/2004,1000,South America,South America,
WBA,Super flyweight,Super flyweight,15, Martín Castillo,Mexico,12/3/2004,,3,596," July 22, 2006",,7/22/2006,596,North America,North America,
WBA,Super flyweight,Super flyweight,16, Nobuo Nashiro,Japan,7/22/2006,,1,285," May 3, 2007",,5/3/2007,285,East Asia,Asia,
WBA,Super flyweight,Super flyweight,17, Alexander Munoz (2),Venezuela,5/3/2007,,2,380," May 17, 2008",Muñoz then fought for Super title against Cristian Mijares,5/17/2008,380,South America,South America,
WBA,Super flyweight,Super flyweight,18, Cristian Mijares – Super Champion (v. Alexander Muñoz),Mexico,5/17/2008,,1,168," November 1, 2008",,9/15/2008,121,North America,North America, Super Champion (v. Alexander Muñoz)
WBA,Super flyweight,Super flyweight,19, Nobuo Nashiro (2) – Regular Champion (v. Kohei Kono),Japan,9/15/2008,,2,600," May 8, 2010",,11/1/2008,47,East Asia,Asia, Regular Champion (v. Kohei Kono)
WBA,Super flyweight,Super flyweight,20, Vic Darchinyan – Super Champion,Armenia,11/1/2008,,3,553," May 8, 2010",Darchinyan vacated to move up to bantamweight,5/8/2010,553,Eastern Europe,Europe, Super Champion
